<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
SBER;D;27/06/17;000000;147.1000000
SBER;D;28/06/17;000000;145.5000000
SBER;D;29/06/17;000000;143.8000000
SBER;D;30/06/17;000000;145.5900000
SBER;D;03/07/17;000000;147.5000000
SBER;D;04/07/17;000000;149.3900000
SBER;D;05/07/17;000000;148.9600000
SBER;D;06/07/17;000000;150.3500000
SBER;D;07/07/17;000000;152.1600000
SBER;D;10/07/17;000000;155.0000000
SBER;D;11/07/17;000000;156.9100000
SBER;D;12/07/17;000000;160.8500000
SBER;D;13/07/17;000000;159.9400000
SBER;D;14/07/17;000000;161.4000000
SBER;D;17/07/17;000000;161.9800000
SBER;D;18/07/17;000000;161.7000000
SBER;D;19/07/17;000000;164.3400000
SBER;D;20/07/17;000000;163.9300000
SBER;D;21/07/17;000000;162.1000000
SBER;D;24/07/17;000000;161.3300000
SBER;D;25/07/17;000000;160.2200000
SBER;D;26/07/17;000000;161.5500000
SBER;D;27/07/17;000000;166.0000000
SBER;D;28/07/17;000000;165.4000000
SBER;D;31/07/17;000000;164.5300000
SBER;D;01/08/17;000000;166.3100000
SBER;D;02/08/17;000000;169.9000000
SBER;D;03/08/17;000000;170.0000000
SBER;D;04/08/17;000000;169.7300000
SBER;D;07/08/17;000000;172.7900000
SBER;D;08/08/17;000000;175.7500000
SBER;D;09/08/17;000000;173.4000000
SBER;D;10/08/17;000000;172.2000000
SBER;D;11/08/17;000000;172.0500000
SBER;D;14/08/17;000000;172.5100000
SBER;D;15/08/17;000000;172.3300000
SBER;D;16/08/17;000000;173.0500000
SBER;D;17/08/17;000000;172.7200000
SBER;D;18/08/17;000000;169.5000000
SBER;D;21/08/17;000000;169.9000000
SBER;D;22/08/17;000000;171.0000000
SBER;D;23/08/17;000000;175.3000000
SBER;D;24/08/17;000000;179.8000000
SBER;D;25/08/17;000000;180.5100000
SBER;D;28/08/17;000000;181.8500000
SBER;D;29/08/17;000000;181.8900000
SBER;D;30/08/17;000000;183.5000000
SBER;D;31/08/17;000000;183.5100000
SBER;D;01/09/17;000000;183.6600000
SBER;D;04/09/17;000000;184.1000000
SBER;D;05/09/17;000000;184.1400000
SBER;D;06/09/17;000000;183.1200000
SBER;D;07/09/17;000000;184.0000000
SBER;D;08/09/17;000000;185.8900000
SBER;D;11/09/17;000000;190.5000000
SBER;D;12/09/17;000000;189.3200000
SBER;D;13/09/17;000000;189.1000000
SBER;D;14/09/17;000000;188.6400000
SBER;D;15/09/17;000000;188.7500000
SBER;D;18/09/17;000000;188.0400000
SBER;D;19/09/17;000000;184.8500000
SBER;D;20/09/17;000000;186.4700000
SBER;D;21/09/17;000000;187.3800000
SBER;D;22/09/17;000000;187.5500000
SBER;D;25/09/17;000000;191.2000000
SBER;D;26/09/17;000000;192.5400000
SBER;D;27/09/17;000000;193.7000000
SBER;D;28/09/17;000000;191.9600000
SBER;D;29/09/17;000000;192.3300000
SBER;D;02/10/17;000000;193.0000000
SBER;D;03/10/17;000000;192.5000000
SBER;D;04/10/17;000000;192.0300000
SBER;D;05/10/17;000000;193.7400000
SBER;D;06/10/17;000000;194.1600000
SBER;D;09/10/17;000000;194.0000000
SBER;D;10/10/17;000000;193.2100000
SBER;D;11/10/17;000000;195.8300000
SBER;D;12/10/17;000000;195.5100000
SBER;D;13/10/17;000000;196.4800000
SBER;D;16/10/17;000000;197.7000000
SBER;D;17/10/17;000000;197.2000000
SBER;D;18/10/17;000000;195.3100000
SBER;D;19/10/17;000000;192.2000000
SBER;D;20/10/17;000000;192.9700000
SBER;D;23/10/17;000000;192.3400000
SBER;D;24/10/17;000000;192.5000000
SBER;D;25/10/17;000000;192.0400000
SBER;D;26/10/17;000000;192.7500000
SBER;D;27/10/17;000000;196.0500000
SBER;D;30/10/17;000000;195.0000000
SBER;D;31/10/17;000000;193.8000000
SBER;D;01/11/17;000000;194.0500000
SBER;D;02/11/17;000000;193.8500000
SBER;D;03/11/17;000000;193.8000000
SBER;D;07/11/17;000000;205.9600000
SBER;D;08/11/17;000000;209.0900000
SBER;D;09/11/17;000000;220.0500000
SBER;D;10/11/17;000000;217.7000000
SBER;D;13/11/17;000000;216.6100000
SBER;D;14/11/17;000000;221.4000000
SBER;D;15/11/17;000000;225.9500000
SBER;D;16/11/17;000000;227.5000000
SBER;D;17/11/17;000000;225.6500000
SBER;D;20/11/17;000000;224.6000000
SBER;D;21/11/17;000000;231.0000000
SBER;D;22/11/17;000000;230.2500000
SBER;D;23/11/17;000000;225.5600000
SBER;D;24/11/17;000000;228.0000000
SBER;D;27/11/17;000000;226.7600000
SBER;D;28/11/17;000000;230.0000000
SBER;D;29/11/17;000000;228.2000000
SBER;D;30/11/17;000000;224.3500000
SBER;D;01/12/17;000000;221.5000000
