<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
MOBB;D;05/04/17;000000;4.8000000
MOBB;D;06/04/17;000000;4.8000000
MOBB;D;07/04/17;000000;4.6000000
MOBB;D;10/04/17;000000;4.4900000
MOBB;D;11/04/17;000000;4.5400000
MOBB;D;12/04/17;000000;4.5800000
MOBB;D;13/04/17;000000;4.5500000
MOBB;D;14/04/17;000000;4.5200000
MOBB;D;17/04/17;000000;4.6300000
MOBB;D;18/04/17;000000;4.6500000
MOBB;D;19/04/17;000000;4.5900000
MOBB;D;20/04/17;000000;4.4800000
MOBB;D;21/04/17;000000;4.4500000
MOBB;D;24/04/17;000000;4.5500000
MOBB;D;25/04/17;000000;4.6300000
MOBB;D;26/04/17;000000;4.7200000
MOBB;D;27/04/17;000000;4.8400000
MOBB;D;28/04/17;000000;4.8900000
MOBB;D;02/05/17;000000;5.7100000
MOBB;D;03/05/17;000000;5.3400000
MOBB;D;04/05/17;000000;5.4000000
MOBB;D;05/05/17;000000;5.1900000
MOBB;D;10/05/17;000000;5.1300000
MOBB;D;11/05/17;000000;5.0400000
MOBB;D;12/05/17;000000;4.9700000
MOBB;D;15/05/17;000000;5.0400000
MOBB;D;16/05/17;000000;4.8000000
MOBB;D;17/05/17;000000;4.8500000
MOBB;D;18/05/17;000000;4.9500000
MOBB;D;19/05/17;000000;5.0000000
MOBB;D;22/05/17;000000;4.9200000
MOBB;D;23/05/17;000000;4.9500000
MOBB;D;24/05/17;000000;4.9800000
MOBB;D;25/05/17;000000;4.9200000
MOBB;D;26/05/17;000000;4.7500000
MOBB;D;29/05/17;000000;4.8800000
MOBB;D;30/05/17;000000;4.9000000
MOBB;D;31/05/17;000000;4.8000000
MOBB;D;01/06/17;000000;4.6100000
MOBB;D;02/06/17;000000;4.6900000
MOBB;D;05/06/17;000000;4.7800000
MOBB;D;06/06/17;000000;4.8200000
MOBB;D;07/06/17;000000;4.8500000
MOBB;D;08/06/17;000000;4.7400000
MOBB;D;09/06/17;000000;4.7800000
MOBB;D;13/06/17;000000;4.6700000
MOBB;D;14/06/17;000000;4.7000000
MOBB;D;15/06/17;000000;4.6400000
MOBB;D;16/06/17;000000;4.7000000
MOBB;D;19/06/17;000000;4.6800000
