<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
ROSN;D;26/09/17;000000;323.4500000
ROSN;D;27/09/17;000000;324.5000000
ROSN;D;28/09/17;000000;321.9000000
ROSN;D;29/09/17;000000;318.9500000
ROSN;D;02/10/17;000000;315.0000000
ROSN;D;03/10/17;000000;316.1500000
ROSN;D;04/10/17;000000;318.3000000
ROSN;D;05/10/17;000000;319.9500000
ROSN;D;06/10/17;000000;320.6000000
ROSN;D;09/10/17;000000;319.1000000
ROSN;D;10/10/17;000000;319.3000000
ROSN;D;11/10/17;000000;320.5000000
ROSN;D;12/10/17;000000;319.1500000
ROSN;D;13/10/17;000000;320.0000000
ROSN;D;16/10/17;000000;324.8500000
ROSN;D;17/10/17;000000;328.0000000
ROSN;D;18/10/17;000000;326.1000000
ROSN;D;19/10/17;000000;321.5500000
ROSN;D;20/10/17;000000;321.8000000
ROSN;D;23/10/17;000000;316.5000000
ROSN;D;24/10/17;000000;316.8000000
ROSN;D;25/10/17;000000;312.7000000
ROSN;D;26/10/17;000000;311.1500000
ROSN;D;27/10/17;000000;322.0000000
ROSN;D;30/10/17;000000;321.0000000
ROSN;D;31/10/17;000000;318.7000000
ROSN;D;01/11/17;000000;323.1000000
ROSN;D;02/11/17;000000;318.5000000
ROSN;D;03/11/17;000000;317.8000000
ROSN;D;07/11/17;000000;329.9500000
ROSN;D;08/11/17;000000;333.0500000
ROSN;D;09/11/17;000000;336.9000000
ROSN;D;10/11/17;000000;329.3500000
ROSN;D;13/11/17;000000;325.0000000
ROSN;D;14/11/17;000000;314.3000000
ROSN;D;15/11/17;000000;302.2000000
ROSN;D;16/11/17;000000;303.5000000
ROSN;D;17/11/17;000000;300.7000000
ROSN;D;20/11/17;000000;300.0500000
ROSN;D;21/11/17;000000;299.8000000
ROSN;D;22/11/17;000000;302.0000000
ROSN;D;23/11/17;000000;302.3000000
ROSN;D;24/11/17;000000;303.8000000
ROSN;D;27/11/17;000000;299.9000000
ROSN;D;28/11/17;000000;301.3000000
ROSN;D;29/11/17;000000;294.4500000
ROSN;D;30/11/17;000000;293.6000000
ROSN;D;01/12/17;000000;292.0000000
