<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GAZP;D;15/03/17;000000;127.6000000
GAZP;D;16/03/17;000000;128.0500000
GAZP;D;17/03/17;000000;128.9400000
GAZP;D;20/03/17;000000;128.7900000
GAZP;D;21/03/17;000000;129.3000000
GAZP;D;22/03/17;000000;131.6500000
GAZP;D;23/03/17;000000;130.9900000
GAZP;D;24/03/17;000000;130.0500000
GAZP;D;27/03/17;000000;128.8000000
GAZP;D;28/03/17;000000;129.2000000
GAZP;D;29/03/17;000000;128.8100000
GAZP;D;30/03/17;000000;128.4900000
GAZP;D;31/03/17;000000;127.9000000
GAZP;D;03/04/17;000000;127.2100000
GAZP;D;04/04/17;000000;128.8100000
GAZP;D;05/04/17;000000;130.6900000
GAZP;D;06/04/17;000000;130.5000000
GAZP;D;07/04/17;000000;128.7200000
GAZP;D;10/04/17;000000;126.1600000
GAZP;D;11/04/17;000000;126.0000000
GAZP;D;12/04/17;000000;125.0500000
GAZP;D;13/04/17;000000;124.5400000
GAZP;D;14/04/17;000000;122.8500000
GAZP;D;17/04/17;000000;123.7000000
GAZP;D;18/04/17;000000;122.2200000
GAZP;D;19/04/17;000000;121.5500000
GAZP;D;20/04/17;000000;121.9900000
GAZP;D;21/04/17;000000;123.0000000
GAZP;D;24/04/17;000000;128.0000000
GAZP;D;25/04/17;000000;130.2000000
GAZP;D;26/04/17;000000;133.4300000
GAZP;D;27/04/17;000000;133.4100000
GAZP;D;28/04/17;000000;136.7500000
GAZP;D;02/05/17;000000;136.5200000
GAZP;D;03/05/17;000000;135.8100000
GAZP;D;04/05/17;000000;134.9300000
GAZP;D;05/05/17;000000;134.4100000
GAZP;D;10/05/17;000000;134.1900000
GAZP;D;11/05/17;000000;131.1000000
GAZP;D;12/05/17;000000;132.5000000
GAZP;D;15/05/17;000000;131.5000000
GAZP;D;16/05/17;000000;131.1300000
GAZP;D;17/05/17;000000;132.0700000
GAZP;D;18/05/17;000000;126.9000000
GAZP;D;19/05/17;000000;124.1900000
GAZP;D;22/05/17;000000;122.5200000
GAZP;D;23/05/17;000000;123.2300000
GAZP;D;24/05/17;000000;122.0000000
GAZP;D;25/05/17;000000;121.6100000
GAZP;D;26/05/17;000000;122.2000000
GAZP;D;29/05/17;000000;123.1100000
GAZP;D;30/05/17;000000;122.1000000
GAZP;D;31/05/17;000000;120.2800000
GAZP;D;01/06/17;000000;118.0000000
GAZP;D;02/06/17;000000;119.6900000
GAZP;D;05/06/17;000000;119.0000000
GAZP;D;06/06/17;000000;119.0500000
GAZP;D;07/06/17;000000;118.9200000
GAZP;D;08/06/17;000000;119.3000000
GAZP;D;09/06/17;000000;120.5000000
GAZP;D;13/06/17;000000;118.1500000
GAZP;D;14/06/17;000000;115.3500000
GAZP;D;15/06/17;000000;115.4900000
GAZP;D;16/06/17;000000;116.0200000
GAZP;D;19/06/17;000000;117.3300000
GAZP;D;20/06/17;000000;117.4400000
GAZP;D;21/06/17;000000;117.9700000
GAZP;D;22/06/17;000000;119.5500000
GAZP;D;23/06/17;000000;119.1000000
GAZP;D;26/06/17;000000;118.6700000
GAZP;D;27/06/17;000000;119.3500000
GAZP;D;28/06/17;000000;119.7000000
GAZP;D;29/06/17;000000;119.1600000
GAZP;D;30/06/17;000000;118.4900000
GAZP;D;03/07/17;000000;119.8600000
GAZP;D;04/07/17;000000;122.7300000
GAZP;D;05/07/17;000000;122.7000000
GAZP;D;06/07/17;000000;122.6800000
GAZP;D;07/07/17;000000;123.0000000
GAZP;D;10/07/17;000000;124.2500000
GAZP;D;11/07/17;000000;124.7800000
GAZP;D;12/07/17;000000;124.8700000
GAZP;D;13/07/17;000000;125.5500000
GAZP;D;14/07/17;000000;125.0000000
GAZP;D;17/07/17;000000;125.1400000
GAZP;D;18/07/17;000000;124.4900000
GAZP;D;19/07/17;000000;120.1100000
GAZP;D;20/07/17;000000;120.6000000
GAZP;D;21/07/17;000000;118.9500000
GAZP;D;24/07/17;000000;119.1700000
GAZP;D;25/07/17;000000;118.4000000
GAZP;D;26/07/17;000000;119.0000000
GAZP;D;27/07/17;000000;118.6800000
GAZP;D;28/07/17;000000;116.9000000
GAZP;D;31/07/17;000000;116.1000000
GAZP;D;01/08/17;000000;117.9900000
GAZP;D;02/08/17;000000;119.0900000
GAZP;D;03/08/17;000000;119.5800000
GAZP;D;04/08/17;000000;119.4500000
GAZP;D;07/08/17;000000;119.5000000
GAZP;D;08/08/17;000000;119.6700000
GAZP;D;09/08/17;000000;118.6800000
GAZP;D;10/08/17;000000;118.0500000
GAZP;D;11/08/17;000000;116.9300000
GAZP;D;14/08/17;000000;117.4000000
GAZP;D;15/08/17;000000;117.5900000
GAZP;D;16/08/17;000000;116.7500000
GAZP;D;17/08/17;000000;116.2200000
GAZP;D;18/08/17;000000;116.0000000
GAZP;D;21/08/17;000000;115.9200000
GAZP;D;22/08/17;000000;116.0000000
GAZP;D;23/08/17;000000;115.7500000
GAZP;D;24/08/17;000000;116.5600000
GAZP;D;25/08/17;000000;117.8500000
GAZP;D;28/08/17;000000;118.7500000
GAZP;D;29/08/17;000000;118.3000000
GAZP;D;30/08/17;000000;118.2000000
GAZP;D;31/08/17;000000;117.9700000
GAZP;D;01/09/17;000000;117.4000000
GAZP;D;04/09/17;000000;117.0000000
GAZP;D;05/09/17;000000;116.0000000
GAZP;D;06/09/17;000000;117.1400000
GAZP;D;07/09/17;000000;117.9500000
GAZP;D;08/09/17;000000;120.3400000
GAZP;D;11/09/17;000000;121.0000000
GAZP;D;12/09/17;000000;121.9900000
GAZP;D;13/09/17;000000;123.5500000
GAZP;D;14/09/17;000000;123.3300000
GAZP;D;15/09/17;000000;122.5000000
GAZP;D;18/09/17;000000;122.7200000
GAZP;D;19/09/17;000000;121.7500000
GAZP;D;20/09/17;000000;122.2500000
GAZP;D;21/09/17;000000;122.3400000
GAZP;D;22/09/17;000000;121.9500000
GAZP;D;25/09/17;000000;123.0300000
GAZP;D;26/09/17;000000;123.0300000
GAZP;D;27/09/17;000000;123.3600000
GAZP;D;28/09/17;000000;122.5000000
GAZP;D;29/09/17;000000;122.2000000
GAZP;D;02/10/17;000000;121.9000000
GAZP;D;03/10/17;000000;120.7800000
GAZP;D;04/10/17;000000;121.7600000
GAZP;D;05/10/17;000000;123.5000000
GAZP;D;06/10/17;000000;123.4700000
GAZP;D;09/10/17;000000;124.8100000
GAZP;D;10/10/17;000000;124.4400000
GAZP;D;11/10/17;000000;126.0000000
GAZP;D;12/10/17;000000;125.9300000
GAZP;D;13/10/17;000000;126.8600000
GAZP;D;16/10/17;000000;127.1700000
GAZP;D;17/10/17;000000;125.1500000
GAZP;D;18/10/17;000000;126.7000000
GAZP;D;19/10/17;000000;125.5000000
GAZP;D;20/10/17;000000;126.7000000
GAZP;D;23/10/17;000000;126.8000000
GAZP;D;24/10/17;000000;126.0200000
GAZP;D;25/10/17;000000;125.0000000
GAZP;D;26/10/17;000000;124.2000000
GAZP;D;27/10/17;000000;125.9400000
GAZP;D;30/10/17;000000;125.9800000
GAZP;D;31/10/17;000000;125.9000000
GAZP;D;01/11/17;000000;126.5000000
GAZP;D;02/11/17;000000;125.6700000
GAZP;D;03/11/17;000000;125.9000000
GAZP;D;07/11/17;000000;132.2800000
